Subject UPOS: VERB, Subject Form: nibištan | Newpart: dk7_ch1_sec3 | Sentence id: dk7-b:3 | Text: bē pēš az ān čē wehdēn čihr ud dahišn rawāgīh u =š padīruftār ī fradom pad mēnōy ud gētī ud az ān pas waxšwarān frēstagān āwardārān ī andar zamānag tā yaštfrawahr zarduxšt u =šān nihang =ēw az gōwišn ud warz kē pad =iš andar mardōm pad waxšwarīh wābarīhist hēnd nibištan čimīg ,
Subject UPOS: ADJ, Subject Form: āzād | Newpart: zwy_ch4_sec54 | Sentence id: zwy-k20:122 | Text: ud āzād ud wuzurg ud dahīgān ī nēk az deh ud gyāg ī xwēš pad uzdeyīg az bungyāg ud dūdag ī xwēš bē šawēnd az xwurdagān ud wattarān tis pad niyāz xwāhēnd ō driyōšīh ud ačāragīh rasēnd
Subject UPOS: DET, Subject Form: ēn | Newpart: zwy_ch4_sec65 | Sentence id: zwy-k20:134 | Text: guft =iš ohrmazd ō sipitāmān zardušt ēn ān ī pēš gōwam
Subject UPOS: DET, Subject Form: ān | Newpart: zwy_ch5_sec2 | Sentence id: zwy-k20:141 | Text: guft =iš ohrmazd ō ī zardušt kū mardān ī pahlom ān bawēd kē andar ān ī , škoft āwām pad mayān dārēd ud dēn pad barsom yazēd nē pad xwadāyīh wištāsp šā
Subject UPOS: ADJ, Subject Form: pahlom | Newpart: zwy_ch5_sec5 | Sentence id: zwy-k20:143 | Text: ahlaw ī ahlawān ī pahlom ān bawēd kē pad wehdēn ī mazdēsnān ēstēd u =š dēn ī xwēdōdah pad dūdag rawēd ,
Subject UPOS: X, Subject Form: X | Newpart: zwy_ch5_sec8 | Sentence id: zwy-k20:146 | Text: čē andar ān ī awēšān dušxwadāyīh andar ērānšahr , X deh ī awērān nē būd čiyōn ān ka hazārag tō sar bawēd spitāmān zardušt
Subject UPOS: DET, Subject Form: ēn | Newpart: zwy_ch5_sec10 | Sentence id: zwy-k20:148 | Text: spitāmān zardušt ēn ān ī pēš gōwam
Subject UPOS: DET, Subject Form: māh | Newpart: zwy_ch6_sec4 | Sentence id: zwy-k20:154 | Text: ka be āyēnd sepitāmān zardušt xwaršēd X nizm nišān nimāyēd ud māh gōnag gōnag paydāg bawēd būmčandag was bawēd ud wād stahmbagtar āyēd pad gēhān niyāz ud tangīh ud dušxwārīh wēš ō dīdār āyēd ud tīr ī ohrmazd wattarān rāy pādixšāyīh rāyēnēnd
Subject UPOS: ADJ, Subject Form: xešmtōhmagān | Newpart: zwy_ch6_sec6 | Sentence id: zwy-k20:161 | Text: ēdōn bē ōzanēnd ān ī awēšān xešmtōhmagān sad gānag ud hazār gānag ud bēwar gānag abāz wardēnd drafš nišān
Subject UPOS: ADV, Subject Form: ēdōn | Newpart: zwy_ch6_sec10 | Sentence id: zwy-k20:169 | Text: ēdōn pad tāzišn bawēd pad ēn ērān dehān ī man ohrmazddād az xešmtōhmagān sipitāmān zardušt kū ēn mardōm ō padišxwārgar ud pārs sūrāgmānīh ud kōfmānīh ud drayāmānīh ēg =iš nihang bē mānēd
Subject UPOS: ADJ, Subject Form: druwand | Newpart: zwy_ch6_sec13 | Sentence id: zwy-k20:171 | Text: zardušt čē ān rōz ka sadōzim hazārag tō sar X ī zarduštān ka ēč =iš druwand az ēn hazārag andar ān hazārag nē šawēd
Subject UPOS: SCONJ, Subject Form: kē | Newpart: zwy_ch7_sec9 | Sentence id: zwy-k20:182 | Text: ka stārag ī ohrmazd ul ō bālist rasēd ud anāhīd rāy frōd abganēd xwadāyīh ō kay rasēd was amar gund zēnāwand ārāstagdrafš hēnd hād būd kē az sīstān ud pārs ud xwarāsān hād būd kē az war ī padišxwārgar guft hād būd kē az harēw kōfestān guft hād būd kē az tabarestān guft
Subject UPOS: ADJ, Subject Form: āhen | Newpart: zwy_ch3_sec19 | Sentence id: zwy-k20:38 | Text: ēk zarrēn ud ēk asēmēn ud ēk rōyēn ud ēk brinǰēn ud ēk pōlāwadēn ud ēk āhen abar ham gumēxt ēstād ,
